elapsed_s,board_uptime_s,decoded_frames,reconnects,read_errors,control_errors,captured,processed,encoded,rss_mb,fd_count,capture_fps,process_fps,encode_fps,inference_dropped,video_dropped,driver_sequence_gaps,inference_health,recording_state
0.01600000000325963,,0,0,0,0,,,,,,,,,,,0,,
5.01600000000326,17.760060248,72,0,0,0,346,249,345,54.58984375,46,20.051598645116155,14.322570460797252,20.051598645116155,96,0,0,normal,idle
10.046999999991385,23.026926732,172,0,0,0,451,326,451,54.58984375,46,20.00163937246133,15.23934428378006,20.00163937246133,124,0,0,normal,idle
15.062999999994645,28.332078555,273,0,0,0,557,401,557,54.83984375,46,20.22800280405584,14.448573431468457,20.22800280405584,155,0,0,normal,idle
20.078000000008615,32.496180034,373,0,0,0,640,459,640,54.8828125,46,19.5262729932787,13.668391095295089,20.502586642942635,179,0,0,normal,idle
25.09399999998277,37.763327432,474,0,0,0,746,534,745,54.8828125,47,20.036306734974637,14.57185944361792,19.12556551974852,210,0,0,normal,idle
30.125,42.976032569,574,0,0,0,850,609,850,54.8828125,47,19.62825872007034,14.721194040052753,20.609671656073854,240,0,0,normal,recording
35.14100000000326,48.183903533,674,0,0,0,954,683,954,55.140625,46,19.34467618996822,13.541273332977754,20.31190999946663,269,0,0,normal,completed
40.14100000000326,53.367645843,774,0,0,0,1058,762,1058,55.140625,46,20.462615258920362,15.590564006796466,20.462615258920362,294,0,0,normal,completed
45.171999999991385,57.603114791,875,0,0,0,1143,828,1142,55.140625,46,20.747845333904362,15.089342061021355,19.804761455090528,314,0,0,normal,completed
50.187999999994645,62.997203661,975,0,0,0,1251,905,1250,55.140625,46,20.128555130567854,14.002473134308072,20.128555130567854,344,0,0,normal,completed
55.203000000008615,68.232118424,1076,0,0,0,1355,981,1355,55.3984375,46,19.692045644125084,15.003463347904825,19.692045644125084,373,0,0,normal,completed
60.21899999998277,73.477285319,1176,0,0,0,1460,1064,1460,55.3984375,46,20.098729880576805,16.270400379514555,20.098729880576805,395,0,0,normal,completed
65.23399999999674,77.653750874,1276,0,0,0,1544,1123,1543,55.3984375,47,20.362270329262362,13.574846886174909,19.3926384088213,419,0,0,normal,completed
70.25,82.825121201,1377,0,0,0,1647,1198,1647,55.65625,46,19.32888768272334,14.496665762042507,20.29533206685951,448,0,0,normal,completed
75.28099999998813,88.171554217,1477,0,0,0,1754,1272,1754,55.65625,46,19.844637260966962,13.229758173977974,20.789619987679675,480,0,0,normal,completed
80.29699999999139,93.384392252,1578,0,0,0,1858,1346,1858,55.65625,46,19.294077477243494,14.470558107932622,20.258781351105668,511,0,0,normal,completed
85.32800000000861,98.63411172,1678,0,0,0,1963,1420,1963,55.9140625,46,19.31660721835921,13.521625052851446,20.28243757927717,542,0,0,normal,completed
90.34399999998277,102.832720325,1779,0,0,0,2047,1478,2047,55.9140625,46,19.269304040574102,13.48851282840187,20.232769242602807,568,0,0,normal,completed
95.375,108.083707732,1879,0,0,0,2152,1553,2152,55.9140625,46,19.86262601139605,15.133429342016036,19.86262601139605,598,0,0,normal,completed
100.39100000000326,113.321317437,1980,0,0,0,2257,1627,2257,56.171875,46,19.817693208752004,14.155495149108575,20.761392885359243,628,0,0,normal,completed
105.40599999998813,118.537910777,2080,0,0,0,2362,1701,2361,56.171875,46,20.422981577377502,14.587843983841072,19.45045864512143,659,0,0,normal,completed
110.42199999999139,122.766423206,2180,0,0,0,2446,1761,2446,56.171875,46,20.19533553624374,14.425239668745528,20.19533553624374,683,0,0,normal,completed
115.43799999999464,128.025835645,2281,0,0,0,2551,1834,2551,56.171875,46,19.16595630605079,13.416169414235553,20.124254121353328,715,0,0,normal,completed
120.46899999998277,133.324167818,2381,0,0,0,2657,1917,2657,56.4296875,46,20.02213275157406,16.208393179845668,20.02213275157406,739,0,0,normal,completed
125.48399999999674,138.544845816,2482,0,0,0,2762,1992,2761,56.4296875,46,20.21013443003814,13.47342295335876,19.2477470762268,768,0,0,normal,completed
130.51600000000326,143.807396484,2582,0,0,0,2867,2067,2867,56.4296875,46,20.17426912175084,14.410192229822028,20.17426912175084,799,0,0,normal,completed
135.51600000000326,148.021594308,2682,0,0,0,2951,2126,2951,56.68359375,46,19.990319982643605,14.278799987602577,19.990319982643605,824,0,0,normal,completed
